lemma,cl
aufsatz/NOUN,1052
aufschlag/NOUN,1053
aufschluß/NOUN,1054
aufschlüsselung/NOUN,1055
aufschrei/NOUN,1056
aufschrift/NOUN,1057
aufschub/NOUN,1058
aufschwung/NOUN,1059
aufsehen/NOUN,1060
aufseher/NOUN,1061
aufsicht/NOUN,1062
aufsichts-/NOUN,1063
aufsichtsbehörde/NOUN,1064
aufsichtsrat/NOUN,1065
aufspaltung/NOUN,1066
aufstand/NOUN,1067
aufstandsbewegung/NOUN,1068
aufstehen/NOUN,1069
aufsteiger/NOUN,1070
aufstellen/NOUN,1071
aufstellung/NOUN,1072
aufstieg/NOUN,1073
aufstiegsmöglichkeit/NOUN,1074
aufstockung/NOUN,1075
aufstrich/NOUN,1076
aufständische/NOUN,1077
aufsuchen/NOUN,1078
auftakt/NOUN,1079
auftauchen/NOUN,1080
aufteilung/NOUN,1081
auftrag/NOUN,1082
auftragen/NOUN,1083
auftraggeber/NOUN,1084
auftragnehmer/NOUN,1085
auftragsarbeit/NOUN,1086
auftragseingang/NOUN,1087
auftragsvergabe/NOUN,1088
auftreten/NOUN,1089
auftrieb/NOUN,1090
auftritt/NOUN,1091
aufwand/NOUN,1092
aufwendung/NOUN,1093
aufwertung/NOUN,1094
aufwind/NOUN,1095
aufwinden/NOUN,1096
aufwärmen/NOUN,1097
aufzeichnung/NOUN,1098
aufzeichnungs-/NOUN,1099
